UPA,USO_DE_SU,Reclass,ABANDONED,CONSERVATION,FARMING,CATTLE,FORESTRY,LODGING,AGUA,ENERGIA_EL,TELEFONO_F,INTERNET,ALCANTARIL,VIAS_DE_AC,RIEGO,RELIEVE
52,AGRICOLA PECUARIO,AGRICOLA,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
53,AGRICOLA CONSERVACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,NO TIENE,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,PLANO
54,AGRICOLA FORESTAL,AGRICOLA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
54,AGRICOLA CONSERVACIONAL,AGRICOLA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
55,AGRICOLA,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
55,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
55,AGRICOLA FORESTAL,AGRICOLA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
55,AGRICOLA,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
55,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,AGUA ENTUBADA PRIVADA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
55,AGRICOLA SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,PLANO
